date,bdi_value,bdi_open,bdi_high,bdi_low,bdi_volume,bdi_change_pct,daily_change_pct,rolling_7d_avg,rolling_30d_avg,rolling_90d_avg,above_long_avg,is_spike,is_drop,is_outlier,year,month,quarter,weekday,source,data_type,granularity
2021-06-16,3176.0,3176.0,3176.0,3176.0,0.0,4.99,4.9917,2796.0,2839.7,2319.64,True,False,False,False,2021,6,2,Wednesday,investing_bdi_csv,freight_index,daily
2021-06-17,3267.0,3267.0,3267.0,3267.0,0.0,2.87,2.8652,2917.0,2839.73,2341.13,True,False,False,False,2021,6,2,Thursday,investing_bdi_csv,freight_index,daily
2021-06-18,3218.0,3218.0,3218.0,3218.0,0.0,-1.5,-1.4998,3022.29,2839.93,2362.26,True,False,False,False,2021,6,2,Friday,investing_bdi_csv,freight_index,daily
2021-06-21,3190.0,3190.0,3190.0,3190.0,0.0,-0.87,-0.8701,3096.71,2840.17,2383.19,True,False,False,False,2021,6,2,Monday,investing_bdi_csv,freight_index,daily
2021-06-22,3119.0,3119.0,3119.0,3119.0,0.0,-2.23,-2.2257,3134.14,2836.13,2403.37,True,False,False,False,2021,6,2,Tuesday,investing_bdi_csv,freight_index,daily
2021-06-23,3147.0,3147.0,3147.0,3147.0,0.0,0.9,0.8977,3163.14,2832.57,2423.74,True,False,False,False,2021,6,2,Wednesday,investing_bdi_csv,freight_index,daily
2021-06-24,3175.0,3175.0,3175.0,3175.0,0.0,0.89,0.8897,3184.57,2833.77,2444.14,True,False,False,False,2021,6,2,Thursday,investing_bdi_csv,freight_index,daily
2021-06-25,3255.0,3255.0,3255.0,3255.0,0.0,2.52,2.5197,3195.86,2839.7,2465.16,True,False,False,False,2021,6,2,Friday,investing_bdi_csv,freight_index,daily
2021-06-28,3324.0,3324.0,3324.0,3324.0,0.0,2.12,2.1198,3204.0,2852.53,2485.48,True,False,False,False,2021,6,2,Monday,investing_bdi_csv,freight_index,daily
2021-06-29,3418.0,3418.0,3418.0,3418.0,0.0,2.83,2.8279,3232.57,2871.27,2503.94,True,False,False,False,2021,6,2,Tuesday,investing_bdi_csv,freight_index,daily
2021-06-30,3383.0,3383.0,3383.0,3383.0,0.0,-1.02,-1.024,3260.14,2890.87,2521.87,True,False,False,False,2021,6,2,Wednesday,investing_bdi_csv,freight_index,daily
2021-07-01,3338.0,3338.0,3338.0,3338.0,0.0,-1.33,-1.3302,3291.43,2908.77,2540.09,True,False,False,False,2021,7,3,Thursday,investing_bdi_csv,freight_index,daily
2021-07-02,3285.0,3285.0,3285.0,3285.0,0.0,-1.59,-1.5878,3311.14,2924.13,2557.6,True,False,False,False,2021,7,3,Friday,investing_bdi_csv,freight_index,daily
2021-07-05,3224.0,3224.0,3224.0,3224.0,0.0,-1.86,-1.8569,3318.14,2935.97,2574.23,True,False,False,False,2021,7,3,Monday,investing_bdi_csv,freight_index,daily
2021-07-06,3179.0,3179.0,3179.0,3179.0,0.0,-1.4,-1.3958,3307.29,2945.9,2590.57,True,False,False,False,2021,7,3,Tuesday,investing_bdi_csv,freight_index,daily
2021-07-07,3241.0,3241.0,3241.0,3241.0,0.0,1.95,1.9503,3295.43,2960.3,2607.69,True,False,False,False,2021,7,3,Wednesday,investing_bdi_csv,freight_index,daily
2021-07-08,3281.0,3281.0,3281.0,3281.0,0.0,1.23,1.2342,3275.86,2977.87,2625.53,True,False,False,False,2021,7,3,Thursday,investing_bdi_csv,freight_index,daily
2021-07-09,3300.0,3300.0,3300.0,3300.0,0.0,0.58,0.5791,3264.0,2998.27,2643.86,True,False,False,False,2021,7,3,Friday,investing_bdi_csv,freight_index,daily
2021-07-12,3300.0,3300.0,3300.0,3300.0,0.0,0.0,0.0,3258.57,3021.73,2661.93,True,False,False,False,2021,7,3,Monday,investing_bdi_csv,freight_index,daily
